Cluster,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
0,10347.5,1871.0,2406.0,2225.0,327.5,749.5
1,5406.5,7690.5,11527.0,1061.5,4495.0,1388.5
